RPE,1,2,3,4,5,6,7,8,9,10,11,12
10,1.000,0.959,0.930,0.902,0.876,0.852,0.828,0.805,0.783,0.762,0.732,0.707
9.5,0.980,0.945,0.916,0.889,0.864,0.840,0.817,0.794,0.773,0.747,0.720,0.695
9,0.959,0.930,0.902,0.876,0.852,0.828,0.805,0.783,0.762,0.732,0.707,0.681
8.5,0.945,0.916,0.889,0.864,0.840,0.817,0.794,0.773,0.747,0.720,0.695,0.669
8,0.930,0.902,0.876,0.852,0.828,0.805,0.783,0.762,0.732,0.707,0.681,0.656
7.5,0.916,0.889,0.864,0.840,0.817,0.794,0.773,0.747,0.720,0.695,0.669,0.644
7,0.902,0.876,0.852,0.828,0.805,0.783,0.762,0.732,0.707,0.681,0.656,0.630
6.5,0.889,0.864,0.840,0.817,0.794,0.773,0.747,0.720,0.695,0.669,0.644,0.618
6,0.876,0.851,0.828,0.805,0.782,0.762,0.734,0.706,0.682,0.656,0.631,0.605
5.5,0.863,0.838,0.816,0.794,0.771,0.751,0.721,0.692,0.669,0.644,0.618,0.592
5,0.850,0.825,0.804,0.783,0.759,0.741,0.708,0.679,0.657,0.631,0.605,0.580
